date/iso,value,value with 10% randomization
6/25/16 18:57,0.157,0.15999
6/25/16 19:11,0.276,0.25648
6/25/16 19:14,0.025,0.02367
6/25/16 19:16,0.059,0.0577
6/25/16 22:05,0.026,0.02461
6/25/16 22:57,0.038,0.03859
6/25/16 23:05,0.053,0.0511
6/26/16 0:33,0.066,0.06813
6/26/16 0:43,0.071,0.06946
6/26/16 1:31,0.064,0.06387
6/26/16 4:34,0.208,0.22718
6/26/16 5:00,0.017,0.01664
6/26/16 5:04,0.024,0.02627
6/26/16 5:09,0.048,0.04579
6/26/16 5:18,0.031,0.03112
6/26/16 5:47,0.026,0.02669
6/26/16 6:06,0.135,0.13757
6/26/16 7:44,0.053,0.05623
6/26/16 7:58,0.052,0.04705
6/26/16 14:33,0.081,0.08191
6/26/16 15:05,0.048,0.04906
6/26/16 17:34,0.356,0.32284
6/26/16 18:44,0.032,0.03134
6/26/16 18:54,0.037,0.03799
6/26/16 19:02,0.098,0.10669
6/26/16 19:05,0.091,0.09442
6/26/16 19:46,0.027,0.026
6/26/16 20:51,0.18,0.18365
6/26/16 20:53,0.03,0.02758
6/26/16 20:55,0.246,0.23075
6/26/16 21:01,0.241,0.24958
6/26/16 21:05,0.031,0.03137
6/26/16 21:09,0.025,0.027
6/26/16 21:14,0.018,0.01659
6/26/16 21:21,0.035,0.03444
6/27/16 5:15,0.032,0.03485
6/27/16 5:29,0.028,0.02608
6/27/16 5:42,0.025,0.02272
6/27/16 8:36,0.028,0.03046
6/28/16 3:59,0.304,0.27568
7/4/16 18:28,0.28,0.286
7/5/16 13:40,0.032,0.03284
7/5/16 14:13,0.357,0.34029
7/5/16 16:02,0.071,0.07279
7/5/16 16:15,0.157,0.14395
7/5/16 16:52,0.071,0.07449
7/5/16 17:22,0.08,0.08494
7/5/16 17:25,0.038,0.03945
7/5/16 17:32,0.038,0.03753
7/5/16 17:48,0.036,0.03666
7/5/16 17:49,0.139,0.1265
7/5/16 17:52,0.115,0.1052
7/5/16 17:56,0.035,0.03248
7/5/16 17:58,0.022,0.02237
7/5/16 18:12,0.058,0.06304
7/5/16 18:17,0.034,0.03398
7/5/16 20:15,0.052,0.04724
7/5/16 20:22,0.036,0.03825
7/5/16 23:39,0.018,0.01925
7/5/16 23:42,0.085,0.09145
7/5/16 23:45,0.398,0.43252
7/5/16 23:52,0.03,0.02782
7/5/16 23:56,0.068,0.07401
7/6/16 0:00,0.101,0.09722
7/6/16 0:25,0.054,0.05386
7/6/16 1:27,0.121,0.12804
7/6/16 1:52,0.07,0.07184
7/6/16 3:20,0.021,0.0214
7/6/16 12:03,0.054,0.05513
7/6/16 12:11,0.034,0.0338
7/6/16 13:25,0.179,0.19504
7/6/16 13:29,0.042,0.04456
7/6/16 13:39,0.327,0.32501
7/6/16 13:52,0.031,0.03188
7/6/16 14:00,0.08,0.0721
7/6/16 14:03,0.049,0.04502
7/6/16 14:07,0.041,0.04237
7/6/16 14:15,0.033,0.03165
7/6/16 14:50,0.083,0.08271
7/6/16 16:58,0.18,0.18634
7/6/16 17:40,0.027,0.02859
7/6/16 18:52,0.089,0.08153
7/6/16 19:14,0.035,0.03729
7/6/16 19:24,0.054,0.05634
7/6/16 19:29,0.029,0.02876
7/6/16 19:39,0.06,0.06504
7/6/16 19:54,0.038,0.0369
7/6/16 20:36,0.074,0.08112
7/6/16 20:48,0.024,0.02416
7/6/16 21:03,0.071,0.07124
7/6/16 21:06,0.042,0.0457
7/6/16 21:20,0.04,0.04174
7/6/16 21:25,0.042,0.04381
7/6/16 21:29,0.051,0.05434
7/7/16 1:21,0.045,0.04618
7/7/16 1:33,0.02,0.01943
7/7/16 1:47,0.106,0.10463
7/7/16 3:06,0.211,0.22686
7/7/16 6:48,0.107,0.11146
7/7/16 11:57,0.085,0.09118
7/7/16 12:10,0.049,0.04732
7/7/16 13:49,0.032,0.02966
7/7/16 14:12,0.057,0.05173
7/7/16 14:33,0.115,0.11563
7/7/16 14:33,0.031,0.03131
7/7/16 14:51,0.036,0.03792
7/7/16 14:54,0.03,0.02902
7/7/16 15:02,0.058,0.05594
7/7/16 15:18,0.074,0.07043
7/7/16 16:04,0.069,0.07136
7/7/16 16:06,0.04,0.03787
7/7/16 16:11,0.054,0.05557
7/7/16 16:15,0.041,0.04124
7/7/16 16:28,0.3,0.28968
7/7/16 19:59,0.128,0.13291
7/7/16 20:12,0.027,0.02928
7/7/16 20:20,0.022,0.02148
7/7/16 20:53,0.082,0.08488
7/7/16 20:55,0.031,0.03267
7/7/16 20:59,0.02,0.02031
7/7/16 21:40,0.194,0.19045
7/7/16 21:44,0.034,0.03372
7/7/16 22:37,0.016,0.01556
7/7/16 23:06,0.104,0.09767
